避難收容處所名稱,縣市及鄉鎮市區,避難收容處所地址,經度,緯度,is_indoor,預計收容人數,最近AQI測站,測站縣市,最近AQI值,測站狀態,距離(km),風險等級
本和里活動中心,高雄市三民區,大和街190號,120.3261,22.6555,True,300,仁武,高雄市,150.0,對所有族群不健康,3.79,High Risk
高雄市立鼎金國民中學,高雄市三民區,鼎山街445號,120.320505,22.655593,True,1273,左營,高雄市,150.0,對所有族群不健康,3.55,High Risk
本館里集會所,高雄市三民區,昌裕街55號,120.3315,22.6557,True,50,仁武,高雄市,150.0,對所有族群不健康,3.71,High Risk
高雄市大樹區九曲國民小學,高雄市大樹區,九曲路498號,120.423343,22.655886,True,2075,屏東,屏東縣,90.0,普通,6.91,Normal
高雄市立鼎金國民中學,高雄市三民區,鼎山街375號,120.322,22.6561,True,1345,左營,高雄市,150.0,對所有族群不健康,3.64,High Risk
台灣基督教長老教會仁美教會短期收,高雄市鳥松區,介壽路14號,120.3933,22.6562,True,96,鳳山,高雄市,150.0,對所有族群不健康,4.83,High Risk
高雄市三民區莊敬國民小學,高雄市三民區,大昌一路200號,120.3241,22.6563,True,2036,仁武,高雄市,150.0,對所有族群不健康,3.75,High Risk
高雄市鼓山區內惟國民小學,高雄市鼓山區,內惟路73號,120.2762,22.6565,True,1091,左營,高雄市,150.0,對所有族群不健康,2.67,High Risk
大樹區綜合體育館,高雄市大樹區,九大路639號,120.4245,22.6569,True,200,屏東,屏東縣,90.0,普通,6.76,Normal
高雄市立大樹國民中學,高雄市大樹區,九曲路500號,120.422752,22.657006,True,1200,屏東,屏東縣,90.0,普通,6.93,Normal
高雄市立七賢國民中學,高雄市鼓山區,美術東三路110號,120.28928,22.657594,True,1036,左營,高雄市,150.0,對所有族群不健康,1.96,High Risk
灣愛里活動中心,高雄市三民區,大昌一路270巷2號,120.3213,22.6579,True,200,左營,高雄市,150.0,對所有族群不健康,3.47,High Risk
仁美營區,高雄市大樹區,久堂路195-20號,120.4137,22.6579,True,200,鳳山,高雄市,150.0,對所有族群不健康,6.66,High Risk
高雄市立龍華國民中學,高雄市左營區,自由二路2號,120.309546,22.658147,True,1600,左營,高雄市,150.0,對所有族群不健康,2.52,High Risk
高雄市鳥松區仁美國民小學,高雄市鳥松區,學堂路2號,120.394141,22.658433,True,520,鳳山,高雄市,150.0,對所有族群不健康,5.06,High Risk
屏東大學屏商校區活動中心,屏東縣屏東市,民生東路51號,120.5122037,22.65860765,True,89,屏東,屏東縣,90.0,普通,2.96,Normal
屏東縣立鶴聲國中,屏東縣屏東市,大武路225號,120.4725,22.6595,True,1098,屏東,屏東縣,90.0,普通,2.2,Normal
屏東市復興國小,屏東縣屏東市,復興路376號,120.4862,22.6599,True,535,屏東,屏東縣,90.0,普通,1.48,Normal
鳥松區公所三樓,高雄市鳥松區,中正路98號,120.3643,22.66,True,50,鳳山,高雄市,150.0,對所有族群不健康,3.61,High Risk
屏東市民生國小,屏東縣屏東市,安心四橫巷139-1號,120.509,22.6609,True,265,屏東,屏東縣,90.0,普通,2.54,Normal
高雄市立明華國民中學,高雄市鼓山區,明誠三路582號,120.301532,22.661903,True,927,左營,高雄市,150.0,對所有族群不健康,1.69,High Risk
華源活動中心,臺東縣太麻里鄉,一鄰大坑一五號,121.027792,22.66241819,True,70,臺東,臺東縣,44.0,良好,16.28,Normal
屏東市公所,屏東縣屏東市,台糖街61號,120.4915,22.6626,True,734,屏東,屏東縣,90.0,普通,1.22,Normal
高雄市鳥松區鳥松國民小學（備用）,高雄市鳥松區,文前路32號,120.361721,22.663078,True,50,鳳山,高雄市,150.0,對所有族群不健康,3.91,High Risk
